Version     :: 0.0.11.5
DateTime    :: 11/7/2023 04:12:41 PM
RegExType   :: Heal :: Apos
RegExString :: \((?<time>\d*\:\d*\:\d*)\)\W*(?<source>.+)[r']+[s]? (?<ability>.+'+.+) (?<type>heal)s (?<target>.*) for (?<value>\d*) points[\.!]

Time     : Value_Type : Source                    : Target                    : Ability                   : Event_type   : Event_detail : Value 
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:13:59 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:13:59 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 9     
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 9     
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 9     
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 9     
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 9     
16:14:00 : heal       : HuntyPet                  : HuntyPet                  : Relgor's Restorative Elixir :              :              : 27    
16:14:00 : heal       : Dispel                    : Dispel                    : Relgor's Restorative Elixir :              :              : 11    
16:14:00 : heal       : TyyppVee                  : TyyppVee                  : Relgor's Restorative Elixir :              :              : 3     
